#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FINALIDADE,FINALIDADE,CODIGO_ATIVIDADE,ATIVIDADE,CODIGO_MODALIDADE,MODALIDADE
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","15","AQUISIÇÃO DE VEÍCULOS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","15","AQUISIÇÃO DE VEÍCULOS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","14","MÁQUINAS, EQUIPAMENTOS, MATERIAIS E UTENSÍLIOS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","13","MELHORAMENTO DAS EXPLORAÇÕES"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","13","MELHORAMENTO DAS EXPLORAÇÕES"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","12","FORMAÇÃO DE CULTURAS PERENES"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","90","SERVIÇOS PROFISSIONAIS/TÉCNICOS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","90","SERVIÇOS PROFISSIONAIS/TÉCNICOS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","99","Renegociação Total com Nova Operação - Encerrado"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","99","Renegociação Total com Nova Operação - Encerrado"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","14","MÁQUINAS, EQUIPAMENTOS, MATERIAIS E UTENSÍLIOS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","27","AQUISIÇÃO DE ANIMAIS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","28","AQUISIÇÃO DE ANIMAIS DE SERVIÇO"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","16","AQUISIÇÃO DE ANIMAIS DE SERVIÇO (USO AGRICULTURA)"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","15","AQUISIÇÃO DE VEÍCULOS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","15","AQUISIÇÃO DE VEÍCULOS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","14","MÁQUINAS, EQUIPAMENTOS, MATERIAIS E UTENSÍLIOS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","13","MELHORAMENTO DAS EXPLORAÇÕES"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","13","MELHORAMENTO DAS EXPLORAÇÕES"
