#CODIGO,DESCRICAO,DATA_INICIO,DATA_FIM
"5260","NESPERA","14/05/2012",
"5270","NIGER","07/03/2022",
"5280","ÓLEO VEGETAL","14/05/2012",
"5290","OLERÍCOLAS","24/06/2020","30/06/2020"
"5300","OLIVA (AZEITONA)","14/05/2012",
"5310","ÔNIBUS, MICRO-ÔNIBUS E VANS","01/01/2014",
"5320","OUTRAS APLICAÇÕES","14/05/2012",
"5340","OUTRAS APLICAÇÕES DE CUSTEIO AGRÍCOLA","14/05/2012",
"5360","OUTRAS APLICAÇÕS DE INVESTIMENTO AGRÍCOLA","14/05/2012",
"5380","OUTRAS CULTURAS","14/05/2012",
"5420","OUTRAS LAVOURAS","14/05/2012",
"5440","OUTRAS MÁQUINAS","14/05/2012",
"5460","OUTROS ANIMAIS","14/05/2012",
"5480","OUTROS MELHORAMENTOS","14/05/2012",
"5500","OUTROS PRODUTOS","14/05/2012",
"5520","OUTROS PRODUTOS BENEFICIADOS OU INDUSTRIALIZADOS NÃO ESPECIFICADOS","14/05/2012",
"5540","SISTEMAS DE CAPTAÇÃO, RETENÇÃO E APROVEITAMENTO DE ÁGUA","14/05/2012",
"5555","Confinamento de bovinos "free stall"","14/09/2020",
"5560","OUTROS VEÍCULOS","14/05/2012",
"5580","OVINOS","14/05/2012",
"5600","OVOS","14/05/2012",
"5620","PAINÇO","14/05/2012",
"5640","PALMA","14/05/2012",
"5660","PALMEIRA","14/05/2012",
"5678","Caixas de abelhas, favos, centrifugas p/ extração de mel, fumegadores","07/08/2020",
"5680","PALMITO (PUPUNHA,AÇAI)","14/05/2012",
"5700","PAPEL KRAFT","14/05/2012",
"5720","PARICÁ","14/05/2012",
"5730","PATAUÁ","31/10/2018",
"5760","PASTAGEM","14/05/2012",
"5770","TIFTON","16/10/2017",
"5780","PISCICULTURA (CULTIVO DE PEIXES)","14/05/2012",
"5790","PRACAXI","31/10/2018",
"5800","PEPINO","14/05/2012",
"5810","PEQUI","14/05/2012",
"5820","PERA","14/05/2012",
"5830","PEIXE","04/05/2018",
"5840","PESCA","14/05/2012",
"5860","PESCADO","14/05/2012",
"5865","PESCADO (ARMAZENAMENTO, ACONDICIONAMENTO E PRESERVACAO, INCLUSIVE SEGURO, IMPOSTOS, FRETES ETC)","07/08/2013",
"5880","PÊSSEGO","14/05/2012",
"5890","CAMAPU (PHYSALIS)","01/01/2014",
"5900","PIAÇABA (PIAÇAVA)","14/05/2012",
"5920","PIMENTA","14/05/2012",
"5930","AROEIRA (PIMENTA-ROSA)","14/06/2018",
"5940","PIMENTA-DO-REINO","14/05/2012",
"5960","PIMENTÃO","14/05/2012",
"5980","PINHA (ATA, FRUTA-DO-CONDE, ANONA)","14/05/2012",
"5985","PINUS","26/09/2017",
"6000","PISCICULTURA","14/05/2012",
"6010","PITAYA","01/01/2014",
"6020","PIXURIM","14/05/2012",
"6040","PLANTAS ORNAMENTAIS","14/05/2012",
"6041","Ervas medicinais, aromáticas ou condimentares","01/07/2019",
"6045","PLANTAS PARA INFUSÃO","07/06/2019",
"6050","LAGO ARTIFICIAL, TANQUE, BARREIROS, CANAIS, RESERV.ÁGUA POTAVEL","01/01/2014",
"6060","POLIETILENO","14/05/2012",
"6080","POMELO","14/05/2012",
"6200","PORONGO (CUIA,CABAÇA)","14/05/2012",
"6220","PROTEÇÃO DE PREÇOS","14/05/2012",
"6240","PROTEÇÃO DO SOLO","14/05/2012",
"6250","PRESTAÇÃO DE SERVIÇOS NO MEIO RURAL","04/05/2017",
"6260","PUPUNHA","14/05/2012",
"6300","QUIABO","14/05/2012",
"6320","QUIUÍ (KIWI)","14/05/2012",
"6330","QUINOA","09/03/2018",
"6340","RÃ","14/05/2012",
"6360","RABANETE","14/05/2012",
"6380","RAMI","14/05/2012",
"6400","RANICULTURA","14/05/2012",
"6410","REBOQUES, SEMIREBOQUES, CAÇAMBAS E CABINES","01/01/2014",
"6420","REFORMAS  DE  MÁQUINAS, APARELHOS, EQUIPAMENTOS  E VEÍCULOS, COMPRA DE PECAS E ACESSRIOS","14/05/2012",
"6440","REPOLHO","14/05/2012",
"6460","Residências Rurais","14/05/2012",
"6470","ROMÃ","01/01/2014",
"6480","RÚCULA","14/05/2012",
"6500","SACARIA E/OU MATERIAL DE ACONDICIONAMENTO","14/05/2012",
"6540","SAL","14/05/2012",
"6550","SANSÃO-DO-CAMPO","26/02/2018",
"6560","SALSA","14/05/2012",
"6565","SAPOTI","20/09/2018",
"6570","SEBO BOVINO","01/08/2013",
"6580","SECADOR","14/05/2012",
"6600","SEMENTES DIVERSAS","14/05/2012",
"6620","SERICICULTURA","14/05/2012",
"6640","SERINGUEIRA","14/05/2012",
"6660","SERRALHA","14/05/2012",
"6666","FORRAÇÃO DE JARDIM","10/06/2019",
"6680","SILO","14/05/2012",
"6700","SIRGARIAS","14/05/2012",
"6720","SOJA","14/05/2012",
"6740","SORGO","14/05/2012",
